Timestamp,Machine_ID,Temperature,Pressure,Status_Label
2026-03-24 21:27:58.037834,Machine_A,29.05,1.28,1
2026-03-24 21:27:59.040462,Machine_A,26.19,1.31,0
2026-03-24 21:28:00.043422,Machine_A,25.25,1.02,0
2026-03-24 21:28:01.046563,Machine_A,20.46,1.06,0
2026-03-24 21:28:02.050206,Machine_A,24.56,1.18,0
2026-03-24 21:28:03.052504,Machine_A,20.81,1.4,1
2026-03-24 21:28:04.055585,Machine_A,24.15,1.24,0
2026-03-24 21:28:05.058979,Machine_A,29.34,1.27,1
2026-03-24 21:28:06.061623,Machine_A,25.14,1.49,1
2026-03-24 21:28:07.064638,Machine_A,24.96,1.21,0
2026-03-24 21:28:08.067700,Machine_A,23.77,1.09,0
2026-03-24 21:28:09.070205,Machine_A,20.2,1.06,0
2026-03-24 21:28:10.073837,Machine_A,29.85,1.34,1
2026-03-24 21:28:11.076266,Machine_A,27.61,1.02,0
2026-03-24 21:28:12.079186,Machine_A,23.16,1.4,1
2026-03-24 21:28:13.082803,Machine_A,28.86,1.1,1
2026-03-24 21:28:14.084994,Machine_A,24.62,1.3,0
2026-03-24 21:28:15.088466,Machine_A,25.77,1.36,0
2026-03-24 21:28:16.091503,Machine_A,26.82,1.33,0
